"","Barack ObamaDemocratic","","","Mitt RomneyRepublican","","","Gary JohnsonLibertarian","","","Jill SteinGreen","","","Others","","","Margin","","Total",""
"State/District","#","%","EV","#","%","EV","#","%","EV","#","%","EV","#","%","EV","#","%","#",""
"","","","","","","","","","","","","","","","","","","",""
"ME-2 https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Flag_of_Maine.svg/19px-Flag_of_Maine.svg.png","177,998","52.94%","1","149,215","44.38%","–","4,843","1.4%","–","4,170","1.2%","–","–","–","–","28,783","8.56%","336,226","ME2"
"Maryland https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Maryland.svg/23px-Flag_of_Maryland.svg.png","1,677,844","61.97%","10","971,869","35.90%","–","30,195","1.1%","–","17,110","0.6%","–","10,309","0.4%","–","705,975","26.07%","2,707,327","MD"
"Massachusetts https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Flag_of_Massachusetts.svg/23px-Flag_of_Massachusetts.svg.png","1,921,290","60.65%","11","1,188,314","37.51%","–","30,920","1.0%","–","20,691","0.7%","–","6,552","0.2%","–","732,976","23.14%","3,167,767","MA"
"Michigan https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Flag_of_Michigan.svg/23px-Flag_of_Michigan.svg.png","2,564,569","54.21%","16","2,115,256","44.71%","–","7,774","0.2%","–","21,897","0.5%","–","21,465","0.5%","–","449,313","9.50%","4,730,961","MI"
"Minnesota https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Minnesota.svg/23px-Flag_of_Minnesota.svg.png","1,546,167","52.65%","10","1,320,225","44.96%","–","35,098","1.2%","–","13,023","0.4%","–","22,048","0.8%","–","225,942","7.69%","2,936,561","MN"
"Mississippi https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Mississippi_%282001%E2%80%932020%29.svg/23px-Flag_of_Mississippi_%282001%E2%80%932020%29.svg.png","562,949","43.79%","–","710,746","55.29%","6","6,676","0.5%","–","1,588","0.1%","–","3,625","0.3%","–","−147,797","−11.50%","1,285,584","MS"
"Missouri https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Missouri.svg/23px-Flag_of_Missouri.svg.png","1,223,796","44.38%","–","1,482,440","53.76%","10","43,151","1.6%","–","–","–","–","7,936","0.3%","–","−258,644","−9.38%","2,757,323","MO"
"Montana https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_Montana.svg/23px-Flag_of_Montana.svg.png","201,839","41.70%","–","267,928","55.35%","3","14,165","2.9%","–","–","–","–","116","nil","–","−66,089","−13.65%","484,048","MT"
"Nebraska† https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Flag_of_Nebraska.svg/23px-Flag_of_Nebraska.svg.png","302,081","38.03%","–","475,064","59.80%","2","11,109","1.4%","–","–","–","–","6,125","0.8%","–","−172,983","−21.77%","794,379","NE–AL"
"NE-1 https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Flag_of_Nebraska.svg/23px-Flag_of_Nebraska.svg.png","108,082","40.83%","–","152,021","57.43%","1","3,847","1.2%","–","–","–","–","762","0.3%","–","-43,949","-16.60%","264,712","NE1"
